,Name,Category,Location,Condition,Price,Quantity,Value,Purchase_Year
154,KITCHEN TOOL,FURNITURE & APPLIANCES,KITCHEN,Good,20000,26,520000,2021
155,KITCHEN WARE,FURNITURE & APPLIANCES,KITCHEN,Fair,7500,76,570000,2020
156,LCD  MONITOR,WORKSTATION,STORAGE ROOM,Good,11000000,1,11000000,2019
157,LCD MONITOR,WORKSTATION,CO-WORKING,Excellent,800000,1,800000,2020
158,LED Lighting,LIGHTING,STORAGE ROOM,Good,750000,1,750000,2021
159,LENS CAMERA,CAMERA,BOARD,Good,1950000,5,9750000,2021
160,Lens Mount Adapter,CAMERA,BOARD,Excellent,12400000,2,24800000,2019
161,Light Stand,GRIP,STORAGE ROOM,Good,1990000,2,3980000,2021
162,Light Stand MANFROTO,GRIP,STORAGE ROOM,Fair,170000,2,340000,2020
163,Mac Pro,WORKSTATION,STORAGE ROOM,Fair,540000,1,540000,2019
164,Memory Card,CAMERA,BOARD,Poor,1625000,4,6500000,2019
165,Metal bunk beds / Kasur tingkat,FURNITURE & APPLIANCES,BEDROOM,Good,14000000,1,14000000,2019
166,Miccrophones,AUDIO,BOARD,Fair,775000,4,3100000,2019
167,Miccrophones Wireless,AUDIO,BOARD,Excellent,2750000,1,2750000,2019
168,MINI DV Cassette 60m,NETWORKING & PERIPHERAL,STORAGE ROOM,Good,228764,17,3889000,2021
169,Mirrorless Camera,CAMERA,BOARD,Excellent,9760000,1,9760000,2019
170,MONOPOD,GRIP,STORAGE ROOM,Poor,21000,2,42000,2019
171,Motherboard,TOOLS & SUPPLY,STORAGE ROOM,Excellent,32500000,1,32500000,2019
172,MOUSE,NETWORKING & PERIPHERAL,STORAGE ROOM,Good,1000000,5,5000000,2019
173,Office Paper & Media Organizer,FURNITURE & APPLIANCES,CO-WORKING,Poor,650000,7,4550000,2019
174,OPTICAL DRIVE External,NETWORKING & PERIPHERAL,STORAGE ROOM,Good,500000,1,500000,2020
175,OPTICAL DRIVE Internal,TOOLS & SUPPLY,STORAGE ROOM,Good,375000,2,750000,2020
176,OPTIMUS,WORKSTATION,SUITE,Fair,180000,1,180000,2019
177,OPTIMUS - HEADPHONES,AUDIO,SUITE,Fair,120000,1,120000,2021
178,OPTIMUS DISPLAY MONITOR,WORKSTATION,SUITE,Excellent,27000000,1,27000000,2019
179,OPTIMUS KEYBOARD,WORKSTATION,SUITE,Good,2300000,1,2300000,2020
180,OUTSIDE FOLDING CHAIR,FURNITURE & APPLIANCES,STORAGE ROOM,Excellent,900000,5,4500000,2019
181,OWC THUNDERBOLT 12 PORT,NETWORKING & PERIPHERAL,SUITE,Excellent,600000,2,1200000,2020
182,PELICAN CASE,BAG & CASE,BOARD,Fair,75000,4,300000,2021
183,PHOENIX - Display Monitor,WORKSTATION,BOARD,Good,1000000,1,1000000,2021
184,PHOENIX LOUD SPEAKER,AUDIO,BOARD,Good,1150000,1,1150000,2019
185,POP FILTER,AUDIO,STORAGE ROOM,Good,5300000,1,5300000,2019
186,POWER ADAPTOR,NETWORKING & PERIPHERAL,STORAGE ROOM,Excellent,300000,4,1200000,2020
187,Power Extension Cord,ELECTRICAL,STORAGE ROOM,Excellent,350000,10,3500000,2020
188,Power Strip,ELECTRICAL,STORAGE ROOM,Good,100000,4,400000,2020
189,Power Strip Switch,ELECTRICAL,STORAGE ROOM,Fair,62500,4,250000,2019
190,POWER STRIP SWITCH,ELECTRICAL,STORAGE ROOM,Fair,40000,7,280000,2021
191,POWER SUPPLY,TOOLS & SUPPLY,STORAGE ROOM,Good,70000,1,70000,2020
